"project","article","timestamp","access","agent","views"
"en.wikipedia","Donald_Trump","2017050500","all-access","user",51080
"en.wikipedia","Donald_Trump","2017050600","all-access","user",41736
"en.wikipedia","Donald_Trump","2017050700","all-access","user",45304
"en.wikipedia","Donald_Trump","2017050800","all-access","user",55271
"en.wikipedia","Donald_Trump","2017050900","all-access","user",54413
"en.wikipedia","Donald_Trump","2017051000","all-access","user",67714
"en.wikipedia","Donald_Trump","2017051100","all-access","user",61168
"en.wikipedia","Donald_Trump","2017051200","all-access","user",61580
"en.wikipedia","Donald_Trump","2017051300","all-access","user",56162
"en.wikipedia","Donald_Trump","2017051400","all-access","user",56835
"en.wikipedia","Donald_Trump","2017051500","all-access","user",60996
"en.wikipedia","Donald_Trump","2017051600","all-access","user",65059
"en.wikipedia","Donald_Trump","2017051700","all-access","user",79622
"en.wikipedia","Donald_Trump","2017051800","all-access","user",80305
"en.wikipedia","Donald_Trump","2017051900","all-access","user",64753
"en.wikipedia","Donald_Trump","2017052000","all-access","user",72310
"en.wikipedia","Donald_Trump","2017052100","all-access","user",71125
"en.wikipedia","Donald_Trump","2017052200","all-access","user",98776
"en.wikipedia","Donald_Trump","2017052300","all-access","user",91113
"en.wikipedia","Donald_Trump","2017052400","all-access","user",87283
"en.wikipedia","Donald_Trump","2017052500","all-access","user",78145
"en.wikipedia","Donald_Trump","2017052600","all-access","user",78565
"en.wikipedia","Donald_Trump","2017052700","all-access","user",67234
"en.wikipedia","Donald_Trump","2017052800","all-access","user",61078
"en.wikipedia","Donald_Trump","2017052900","all-access","user",60385
"en.wikipedia","Donald_Trump","2017053000","all-access","user",57600
"en.wikipedia","Donald_Trump","2017053100","all-access","user",63665
"en.wikipedia","Hillary_Clinton","2016060100","all-access","user",20763
"en.wikipedia","Hillary_Clinton","2016060200","all-access","user",22543
"en.wikipedia","Hillary_Clinton","2016060300","all-access","user",22823
"en.wikipedia","Hillary_Clinton","2016060400","all-access","user",19896
"en.wikipedia","Hillary_Clinton","2016060500","all-access","user",22602
"en.wikipedia","Hillary_Clinton","2016060600","all-access","user",27526
"en.wikipedia","Hillary_Clinton","2016060700","all-access","user",75321
"en.wikipedia","Hillary_Clinton","2016060800","all-access","user",148724
"en.wikipedia","Hillary_Clinton","2016060900","all-access","user",79824
"en.wikipedia","Hillary_Clinton","2016061000","all-access","user",78520
"en.wikipedia","Hillary_Clinton","2016061100","all-access","user",51623
"en.wikipedia","Hillary_Clinton","2016061200","all-access","user",41752
"en.wikipedia","Hillary_Clinton","2016061300","all-access","user",41350
"en.wikipedia","Hillary_Clinton","2016061400","all-access","user",40977
"en.wikipedia","Hillary_Clinton","2016061500","all-access","user",37621
"en.wikipedia","Hillary_Clinton","2016061600","all-access","user",30076
"en.wikipedia","Hillary_Clinton","2016061700","all-access","user",25555
"en.wikipedia","Hillary_Clinton","2016061800","all-access","user",24292
"en.wikipedia","Hillary_Clinton","2016061900","all-access","user",26105
"en.wikipedia","Hillary_Clinton","2016062000","all-access","user",24416
"en.wikipedia","Hillary_Clinton","2016062100","all-access","user",27590
"en.wikipedia","Hillary_Clinton","2016062200","all-access","user",29086
"en.wikipedia","Hillary_Clinton","2016062300","all-access","user",24924
"en.wikipedia","Hillary_Clinton","2016062400","all-access","user",22251
"en.wikipedia","Hillary_Clinton","2016062500","all-access","user",20749
"en.wikipedia","Hillary_Clinton","2016062600","all-access","user",21999
"en.wikipedia","Hillary_Clinton","2016062700","all-access","user",27208
"en.wikipedia","Hillary_Clinton","2016062800","all-access","user",26559
"en.wikipedia","Hillary_Clinton","2016062900","all-access","user",23288
"en.wikipedia","Hillary_Clinton","2016063000","all-access","user",21084
"en.wikipedia","Hillary_Clinton","2016070100","all-access","user",22788
"en.wikipedia","Hillary_Clinton","2016070200","all-access","user",23588
"en.wikipedia","Hillary_Clinton","2016070300","all-access","user",25285
"en.wikipedia","Hillary_Clinton","2016070400","all-access","user",23386
"en.wikipedia","Hillary_Clinton","2016070500","all-access","user",40968
"en.wikipedia","Hillary_Clinton","2016070600","all-access","user",43869
"en.wikipedia","Hillary_Clinton","2016070700","all-access","user",35799
"en.wikipedia","Hillary_Clinton","2016070800","all-access","user",29029
"en.wikipedia","Hillary_Clinton","2016070900","all-access","user",21740
"en.wikipedia","Hillary_Clinton","2016071000","all-access","user",19602
"en.wikipedia","Hillary_Clinton","2016071100","all-access","user",21562
"en.wikipedia","Hillary_Clinton","2016071200","all-access","user",30769
"en.wikipedia","Hillary_Clinton","2016071300","all-access","user",29981
"en.wikipedia","Hillary_Clinton","2016071400","all-access","user",27555
"en.wikipedia","Hillary_Clinton","2016071500","all-access","user",25011
"en.wikipedia","Hillary_Clinton","2016071600","all-access","user",23304
"en.wikipedia","Hillary_Clinton","2016071700","all-access","user",24205
"en.wikipedia","Hillary_Clinton","2016071800","all-access","user",27121
"en.wikipedia","Hillary_Clinton","2016071900","all-access","user",51638
"en.wikipedia","Hillary_Clinton","2016072000","all-access","user",61779
"en.wikipedia","Hillary_Clinton","2016072100","all-access","user",52383
"en.wikipedia","Hillary_Clinton","2016072200","all-access","user",73946
"en.wikipedia","Hillary_Clinton","2016072300","all-access","user",81447
"en.wikipedia","Hillary_Clinton","2016072400","all-access","user",55661
